"","SC_SEX","BIRTHYEAR","Age","HOURSLEEP05","HOURSLEEP","TOTALHOURS","SCREENTIME","X","X.1","X.2","X.3"
"446",1,2012,7,0,5,5,5,NA,"",NA,NA
"447",2,2002,17,0,4,4,5,NA,"",NA,NA
"448",1,2009,10,0,5,5,3,NA,"",NA,NA
"449",2,2008,11,0,5,5,2,NA,"",NA,NA
"450",1,2015,4,0,0,0,0,NA,"",NA,NA
"451",1,2008,11,0,0,0,3,NA,"",NA,NA
"452",2,2007,12,0,5,5,4,NA,"",NA,NA
"453",2,2015,4,7,0,7,2,NA,"",NA,NA
"454",1,2009,10,0,6,6,1,NA,"",NA,NA
"455",1,2003,16,0,4,4,3,NA,"",NA,NA
"456",1,2013,6,0,5,5,2,NA,"",NA,NA
"457",2,2004,15,0,7,7,5,NA,"",NA,NA
"458",2,2012,7,0,5,5,4,NA,"",NA,NA
"459",1,2016,3,5,0,5,1,NA,"",NA,NA
"460",1,2011,8,0,6,6,3,NA,"",NA,NA
"461",1,2004,15,0,5,5,3,NA,"",NA,NA
"462",1,2016,3,4,0,4,4,NA,"",NA,NA
"463",2,2012,7,0,6,6,2,NA,"",NA,NA
"464",2,2010,9,0,5,5,5,NA,"",NA,NA
"465",1,2009,10,0,6,6,3,NA,"",NA,NA
"466",2,2007,12,0,4,4,3,NA,"",NA,NA
"467",2,2004,15,0,3,3,1,NA,"",NA,NA
"468",1,2015,4,6,0,6,2,NA,"",NA,NA
"469",2,2008,11,0,6,6,2,NA,"",NA,NA
"470",1,2014,5,6,0,6,1,NA,"",NA,NA
"471",2,2009,10,0,6,6,3,NA,"",NA,NA
